1;59;200000;50000;12000;32000;01/04/2024;1
2;59;200000;50000;9000;40000;01/05/2024;1
3;59;200000;50000;15000;24000;01/06/2024;1
4;60;200000;50000;6000;16000;01/08/2024;1
5;60;200000;50000;18000;48000;01/09/2024;1
6;60;200000;50000;12000;32000;01/10/2024;1
7;61;200000;50000;9000;40000;01/02/2024;1
8;61;200000;50000;15000;24000;01/03/2024;1
9;61;200000;50000;6000;16000;01/04/2024;1
10;61;200000;50000;18000;48000;01/05/2024;1
11;61;200000;50000;12000;32000;01/06/2024;1
12;61;200000;50000;9000;40000;01/07/2024;1
13;62;200000;50000;15000;24000;01/03/2024;1
14;62;200000;50000;6000;16000;01/04/2024;1
15;62;200000;50000;18000;48000;01/05/2024;1
16;63;200000;50000;12000;32000;01/07/2024;1
17;63;200000;50000;9000;40000;01/08/2024;1
18;63;200000;50000;15000;24000;01/09/2024;1
19;64;200000;50000;6000;16000;01/12/2023;1
20;64;200000;50000;18000;48000;01/01/2024;1
21;64;200000;50000;12000;32000;01/02/2024;1
22;64;200000;50000;9000;40000;01/03/2024;1
23;64;200000;50000;15000;24000;01/04/2024;1
24;64;200000;50000;6000;16000;01/05/2024;1
25;65;200000;50000;18000;48000;01/01/2024;1
26;65;200000;50000;12000;32000;01/02/2024;1
27;65;200000;50000;9000;40000;01/03/2024;1
28;66;200000;50000;15000;24000;01/05/2024;1
29;66;200000;50000;6000;16000;01/06/2024;1
30;66;200000;50000;18000;48000;01/07/2024;1
31;66;200000;50000;12000;32000;01/08/2024;1
32;66;200000;50000;9000;40000;01/09/2024;1
33;66;200000;50000;15000;24000;01/10/2024;1
34;67;200000;50000;6000;16000;01/03/2024;1
35;67;200000;50000;18000;48000;01/04/2024;1
36;67;200000;50000;12000;32000;01/05/2024;1
37;68;200000;50000;9000;40000;01/07/2024;1
38;68;200000;50000;15000;24000;01/08/2024;1
39;68;200000;50000;6000;16000;01/09/2024;1
40;69;200000;50000;18000;48000;01/02/2024;1
41;69;200000;50000;12000;32000;01/03/2024;1
42;69;200000;50000;9000;40000;01/04/2024;1
43;70;200000;50000;15000;24000;01/06/2024;1
44;70;200000;50000;6000;16000;01/07/2024;1
45;70;200000;50000;18000;48000;01/08/2024;1
46;70;200000;50000;12000;32000;01/09/2024;1
47;70;200000;50000;9000;40000;01/10/2024;1
48;70;200000;50000;15000;24000;01/11/2024;1
49;71;200000;50000;6000;16000;01/04/2024;1
50;71;200000;50000;18000;48000;01/05/2024;1
51;71;200000;50000;12000;32000;01/06/2024;1
52;72;200000;50000;9000;40000;01/09/2024;1
53;72;200000;50000;15000;24000;01/10/2024;1
54;72;200000;50000;6000;16000;01/11/2024;1
55;73;200000;50000;18000;48000;01/03/2024;1
56;73;200000;50000;12000;32000;01/04/2024;1
57;73;200000;50000;9000;40000;01/05/2024;1
58;73;200000;50000;15000;24000;01/06/2024;1
59;73;200000;50000;6000;16000;01/07/2024;1
60;73;200000;50000;18000;48000;01/08/2024;1
61;74;200000;50000;12000;32000;01/05/2024;1
62;74;200000;50000;9000;40000;01/06/2024;1
63;74;200000;50000;15000;24000;01/07/2024;1
64;75;200000;50000;6000;16000;01/02/2024;1
65;75;200000;50000;18000;48000;01/03/2024;1
66;75;200000;50000;12000;32000;01/04/2024;1
67;76;200000;50000;9000;40000;01/07/2024;1
68;76;200000;50000;15000;24000;01/08/2024;1
69;76;200000;50000;6000;16000;01/09/2024;1
70;76;200000;50000;18000;48000;01/10/2024;1
71;76;200000;50000;12000;32000;01/11/2024;1
72;77;200000;50000;9000;40000;01/04/2024;1
73;77;200000;50000;15000;24000;01/05/2024;1
74;77;200000;50000;6000;16000;01/06/2024;1
75;78;200000;50000;18000;48000;01/12/2023;1
76;78;200000;50000;12000;32000;01/01/2024;1
